MAL_ID,Name,Anime-1,Anime-2,Anime-3,Anime-4,Anime-5
144,Kanon,2167,101,31716,4181,147
145,Kareshi Kanojo no Jijou,7054,3470,3731,30,42897
146,Kono Minikuku mo Utsukushii Sekai,226,5958,2001,63,276
147,Kimi ga Nozomu Eien,2476,2924,529,18245,4181
148,Kita e.: Diamond Dust Drops,,,,,
149,Loveless,4898,3656,1532,3092,3655
150,Blood+,1818,226,27,3457,270
151,Re: Cutey Honey,8795,227,9493,13203,3572
152,Solty Rei,483,31163,198,5356,2025
153,Juuni Kokuki,1827,957,25013,5420,182
154,Shaman King,3588,479,392,738,269
155,X/1999,3522,51,1338,1866,578
156,X,1575,51,202,14467,14075
157,Mahou Sensei Negima!,53,1195,1588,193,3503
158,Maria-sama ga Miteru,855,477,795,1569,34382
159,Boukyaku no Senritsu,1048,30,486,39463,
160,"Ima, Soko ni Iru Boku",302,578,1690,34599,584
161,Peace Maker Kurogane,45,6895,918,1977,3655
162,Pita Ten,831,,,,
163,Power Stone,417,,,,
164,Mononoke Hime,572,457,1140,34599,1119
165,RahXephon,30,75,237,93,202
166,Samurai 7,205,45,239,2001,561
167,Scrapped Princess,20853,25013,1827,121,2030
168,s.CRY.ed,6030,1575,96,236,4981
169,Shingetsutan Tsukihime,356,2593,226,6747,1965
170,Slam Dunk,11771,20583,17,245,37403
171,Strange Dawn,3701,160,31240,32615,38985
173,Tactics,1557,4081,4898,335,861
174,Tenjou Tenge,257,857,392,7580,41353
175,Tokyo Underground,1691,236,738,269,2619
176,Triangle Heart: Sweet Songs Forever,5356,,,,
177,Tsubasa Chronicle,232,5530,249,5678,721
178,Ultra Maniac,232,1642,1509,6586,3641
179,Ultra Maniac OVA,,,,,
180,Vandread,2001,113,5781,400,10447
181,Vandread: The Second Stage,,,,,
182,Tenkuu no Escaflowne,249,153,123,435,5702
183,Whistle!,17,32494,2986,263,2159
184,Xenosaga The Animation,42307,2782,2476,1726,
185,Initial D First Stage,2608,263,42923,18179,388
186,Initial D Second Stage,6675,,,,
187,Initial D Third Stage,6675,,,,
188,Gosenzo San'e,,,,,
189,Love Hina,53,4999,2104,18897,133
190,Love Hina Again,53,4015,,,
191,Love Hina Christmas Special: Silent Eve,,,,,
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,,,,,
193,Maburaho,2993,4214,3455,189,157
194,Macross Zero,16524,146,1602,,
195,Onegai?Teacher,,,,,
196,Onegai?Twins,,,,,
197,Rizelmine,119,2104,59,133,470
198,Speed Grapher,2025,889,3342,6573,239
199,Sen to Chihiro no Kamikakushi,431,4081,28805,10408,9760
200,Tenshi na Konamaiki,210,7054,245,242,330
201,Video Girl Ai,59,811,4224,5678,12783
202,Wolf's Rain,790,2025,4981,1,26
203,Words Worth,5645,25345,1763,2533,2872
204,Yumeria,6682,9331,1195,241,193
205,Samurai Champloo,1,1292,2418,4087,6594
206,Lodoss-tou Senki: Eiyuu Kishi Den,8086,1164,37349,4726,391
207,Lodoss-tou Senki,534,182,1827,33,5041
208,R.O.D: Read or Die,2321,565,6758,2564,3342
209,R.O.D: The TV,31478,2025,55,35240,121
210,Ranma ½,249,1293,1453,18897,223
211,Pure Mail,2476,,,,
212,Project A-Ko,18679,949,2414,,
213,Pia Carrot e Youkoso!!,3543,,,,
214,Pia Carrot e Youkoso!! 2,,,,,
215,Pia Carrot e Youkoso!! 2 DX,,,,,
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,,,,,
217,Shin Angel,,,,,
218,Kidou Senkan Nadesico,569,71,30,10808,1088
219,Kidou Senkan Nadesico: The Prince of Darkness,,,,,
220,Kuro no Danshou,,,,,
221,Mezzo Forte,320,2138,3323,,
222,Mezzo DSA,918,3323,,,
223,Dragon Ball,21,11061,392,23755,3214
225,Dragon Ball GT,,,,,
226,Elfen Lied,934,10620,6880,21431,11111
227,FLCL,974,18679,2001,30,379
228,Jigoku Shoujo,1535,28223,3420,861,690
229,Ninin ga Shinobuden,941,66,1748,4362,1988
230,Air Master,1559,857,1292,,
231,Asagiri no Miko,,,,,
232,Cardcaptor Sakura,2923,177,76,5678,530
233,Daa! Daa! Daa!,11457,35222,351,334,103
234,Dan Doh!!,,,,,
235,Detective Conan,1535,407,31043,2076,8425
236,E's Otherwise,168,175,68,,
237,Koukyoushihen Eureka Seven,4177,30,2001,35849,10793
238,Rekka no Honoo,392,20,479,1691,67
239,Gankutsuou,19,1699,32998,2246,1535
240,Genshiken,1210,8769,16,3001,7674
241,Girls Bravo: First Season,3455,1722,63,1195,59
242,Gokusen,245,509,263,7592,200
243,Gravitation,3092,21105,39533,2220,746
244,Agatha Christie no Meitantei Poirot to Marple,527,6758,,,
245,Great Teacher Onizuka,268,24833,918,242,170
246,Groove Adventure Rave,6702,4415,249,25013,23755
247,Harukanaru Toki no Naka de: Hachiyou Shou,123,1579,249,3615,100
248,Ichigo 100%,5150,1555,2927,390,7590
249,InuYasha,14713,123,210,25013,38000
250,Konjiki no Gash Bell!!,9513,64,10620,4063,154
251,Kyou kara Maou!,249,153,853,1195,3359
252,Madlax,272,2030,1224,10087,12413
253,Jungle wa Itsumo Hare nochi Guu,7647,2744,860,114,2104
254,Jungle wa Itsumo Hare nochi Guu Deluxe,,,,,
255,Jungle wa Itsumo Hare nochi Guu Final,,,,,
256,Hoshi no Koe,1689,433,949,770,34240
257,Ikkitousen,174,9367,4719,4262,8277
258,Hitsuji no Uta,7724,169,514,39710,
259,Happy?Lesson,,,,,
260,Happy?Lesson (TV),,,,,
261,Happy?Lesson: Advance,,,,,
262,Happy?Lesson: The Final,,,,,
263,Hajime no Ippo,1559,36563,15,21185,34636
264,Hajime no Ippo: Champion Road,,,,,
265,Hajime no Ippo: Mashiba vs. Kimura,,,,,
266,Gunparade March: Arata Naru Kougunka,11021,71,1542,30,35849
267,Gungrave,33,5682,6,32998,26
268,Golden Boy,245,3889,30240,841,918
269,Bleach,392,1735,20,40748,1536
270,Hellsing,1726,27,4898,150,226
271,Gad Guard,52,13599,32961,132,
272,Noir,5682,252,2030,5356,134
273,Mahoutsukai ni Taisetsu na Koto,387,477,12119,31376,
274,Kiddy Grade,98,5507,109,1184,568
275,Love?Love?,,,,,
276,Mahoromatic: Automatic Maiden,33206,59,146,7054,849
277,Mahoromatic: Motto Utsukushii Mono,,,,,
278,Viewtiful Joe,21,9941,,,
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,2246,228,326,1556,19383
280,Animal Yokochou,6024,3841,,,
281,Akane Maniax,24,637,,,
282,Angel Heart,5682,134,4039,4264,889
283,Akage no Anne,2225,1663,5494,,
284,Area 88 (TV),3089,2500,,,
285,Argento Soma,30,239,1690,,
286,B'T X,1746,,,,
287,Grappler Baki (TV),174,392,37007,14719,3588
288,Bakuten Shoot Beyblade,481,1138,9539,3972,5725
289,Comic Party,2166,240,,,
290,Seikai no Monshou,2966,820,593,97,6594
291,D.C.S.S: Da Capo Second Season,4744,,,,
292,Dear Boys,11771,24415,16894,,
293,Di Gi Charat,2744,379,4362,505,16169
294,Divergence Eve,909,421,,,
295,Divergence Eve 2: Misaki Chronicles,584,,,,
296,Dragon Drive,878,30757,527,14765,1710
297,Grenadier: Hohoemi no Senshi,6,486,411,6633,370
298,.hack//Tasogare no Udewa Densetsu,11757,31859,5681,19009,11759
299,.hack//Liminality,552,6151,,,
300,3x3 Eyes,226,392,499,620,6184
301,Cinderella Boy,,,,,
302,Mirai Shounen Conan,160,513,1251,80,40834
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,,,,,
304,Aa! Megami-sama! Movie,32,,,,
305,Abashiri Ikka,2525,5025,2780,1647,
306,Abenobashi Mahou?Shoutengai,,,,,
307,Kerokko Demetan,2199,,,,
308,Zettai Shounen,387,2596,1179,10460,1981
309,Akahori Gedou Hour Rabuge,379,,,,
310,"Chiisana Obake: Acchi, Kocchi, Socchi",,,,,
311,Ace wo Nerae!,949,506,21185,,
312,Ace wo Nerae!: Final Stage,,,,,
313,Ace wo Nerae! (1979),949,506,,,
314,Ace wo Nerae! 2,,,,,
315,Xiao Qian,199,2427,,,
316,Nageki no Kenkou Yuuryouji,20379,,,,
317,Final Fantasy VII: Advent Children,33080,33082,3269,2969,548
318,Hand Maid May,59,330,,,
319,Happy World!,5958,,,,
320,A Kite,221,5682,2138,437,1350
321,Najica Dengeki Sakusen,1583,788,2993,467,366
322,Paradise Kiss,877,8129,57,852,40392
323,Mousou Dairinin,339,369,437,1210,1943
324,Kidou Keisatsu Patlabor: On Television,1312,1372,329,1391,5075
325,Peach Girl,1222,877,106,390,3457
326,Petshop of Horrors,861,690,934,279,37451
327,Puchi Pri*Yucie,350,721,5420,33489,477
328,Piano (TV),799,472,,,
329,Planetes,1210,12431,593,1034,1747
330,Midori no Hibi,245,776,24,32281,318
331,Mahoujin Guruguru,103,870,2409,,
332,Dokidoki?Densetsu: Mahoujin Guruguru,,,,,
333,Mama wa Shougaku 4 Nensei,,,,,
334,Marmalade Boy,3731,106,1486,852,233
335,Matantei Loki Ragnarok,173,2985,2369,61,20507
336,Ginyuu Mokushiroku Meine Liebe,1912,4898,850,251,447
337,Psychic Academy,,,,,
338,Versailles no Bara,440,820,1013,33,795
339,Serial Experiments Lain,30,369,790,437,323
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,45,67,419,6,1576
341,Spiral: Suiri no Kizuna,1535,235,8425,407,9981
342,Starship Operators,16668,8917,854,,
343,Tsukuyomi: Moon Phase,469,6747,1195,3457,169
344,Futatsu no Spica,12431,9989,308,,
345,Eikoku Koi Monogatari Emma,1699,4898,9938,14145,6045
346,W: Wish,196,17895,13655,361,1085
347,Wild Arms: Twilight Venom,34176,445,4415,,
348,Binzume Yousei,831,1887,1597,39071,3841
349,Magical Canan,76,1688,,,
350,Ojamajo Doremi,232,327,31884,530,721
351,Ojamajo Doremi Sharp,36593,233,687,,
352,Motto! Ojamajo Doremi,687,,,,
353,Ojamajo Doremi Dokkaan!,3297,1932,,,
