MAL_ID,Name,Anime-1,Anime-2,Anime-3,Anime-4,Anime-5
156,X,10087,15613,104,177,7058
157,Mahou Sensei Negima!,189,,,,
158,Maria-sama ga Miteru,795,863,16668,3000,
159,Boukyaku no Senritsu,1048,949,,,
160,"Ima, Soko ni Iru Boku",302,34599,1169,486,455
161,Peace Maker Kurogane,,,,,
162,Pita Ten,1808,,,,
163,Power Stone,,,,,
164,Mononoke Hime,572,457,1140,199,34599
165,RahXephon,30,237,4177,40028,411
166,Samurai 7,205,239,1827,2418,97
167,Scrapped Princess,25013,121,856,5114,6802
168,s.CRY.ed,36563,69,3653,,
169,Shingetsutan Tsukihime,356,6747,5039,10087,147
170,Slam Dunk,11771,20583,245,292,263
171,Strange Dawn,,,,,
173,Tactics,1557,335,251,,
174,Tenjou Tenge,257,1559,857,392,41353
175,Tokyo Underground,,,,,
176,Triangle Heart: Sweet Songs Forever,,,,,
177,Tsubasa Chronicle,232,5678,11757,16009,435
178,Ultra Maniac,232,6586,3641,122,
179,Ultra Maniac OVA,,,,,
180,Vandread,113,8917,18893,3407,
181,Vandread: The Second Stage,3927,,,,
182,Tenkuu no Escaflowne,435,2002,34104,95,929
183,Whistle!,,,,,
184,Xenosaga The Animation,,,,,
185,Initial D First Stage,2608,263,42923,22,135
186,Initial D Second Stage,,,,,
187,Initial D Third Stage,,,,,
188,Gosenzo San'e,,,,,
189,Love Hina,2104,157,210,1218,849
190,Love Hina Again,,,,,
191,Love Hina Christmas Special: Silent Eve,,,,,
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,,,,,
193,Maburaho,576,18897,14749,,
194,Macross Zero,1602,1080,,,
195,Onegai?Teacher,,,,,
196,Onegai?Twins,,,,,
197,Rizelmine,,,,,
198,Speed Grapher,3342,109,790,,
199,Sen to Chihiro no Kamikakushi,431,28805,9760,10259,512
200,Tenshi na Konamaiki,210,7054,245,851,1728
201,Video Girl Ai,59,811,563,440,1701
202,Wolf's Rain,790,2025,1,26,7
203,Words Worth,2441,1763,,,
204,Yumeria,,,,,
205,Samurai Champloo,1,1292,2418,4087,6594
206,Lodoss-tou Senki: Eiyuu Kishi Den,,,,,
207,Lodoss-tou Senki,435,1827,5041,1777,3230
208,R.O.D: Read or Die,,,,,
209,R.O.D: The TV,31157,650,2564,,
210,Ranma ½,249,1293,4999,1559,1453
211,Pure Mail,,,,,
212,Project A-Ko,18679,3787,4150,,
213,Pia Carrot e Youkoso!!,,,,,
214,Pia Carrot e Youkoso!! 2,,,,,
215,Pia Carrot e Youkoso!! 2 DX,,,,,
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,147,,,,
217,Shin Angel,,,,,
218,Kidou Senkan Nadesico,569,71,,,
219,Kidou Senkan Nadesico: The Prince of Darkness,,,,,
220,Kuro no Danshou,,,,,
221,Mezzo Forte,320,1,,,
222,Mezzo DSA,,,,,
223,Dragon Ball,21,11061,392,20,6702
225,Dragon Ball GT,6413,6702,,,
226,Elfen Lied,934,10620,21431,1818,384
227,FLCL,974,18679,2001,30,379
228,Jigoku Shoujo,1535,28223,514,323,11111
229,Ninin ga Shinobuden,2457,1050,,,
230,Air Master,1559,1292,,,
231,Asagiri no Miko,,,,,
232,Cardcaptor Sakura,2923,177,76,5678,530
233,Daa! Daa! Daa!,334,,,,
234,Dan Doh!!,,,,,
235,Detective Conan,1535,4756,28619,41120,2704
236,E's Otherwise,,,,,
237,Koukyoushihen Eureka Seven,4177,2001,35849,10793,1575
238,Rekka no Honoo,392,136,6033,2772,
239,Gankutsuou,19,1699,2246,4898,1013
240,Genshiken,16,57,1797,1798,
241,Girls Bravo: First Season,3455,3229,5973,,
242,Gokusen,245,,,,
243,Gravitation,1021,2495,,,
244,Agatha Christie no Meitantei Poirot to Marple,1375,527,,,
245,Great Teacher Onizuka,268,24833,242,170,24
246,Groove Adventure Rave,6702,,,,
247,Harukanaru Toki no Naka de: Hachiyou Shou,1579,,,,
248,Ichigo 100%,5150,79,,,
249,InuYasha,14713,210,28423,8476,300
250,Konjiki no Gash Bell!!,479,4063,154,1707,
251,Kyou kara Maou!,14765,15809,173,,
252,Madlax,272,,,,
253,Jungle wa Itsumo Hare nochi Guu,10165,860,,,
254,Jungle wa Itsumo Hare nochi Guu Deluxe,,,,,
255,Jungle wa Itsumo Hare nochi Guu Final,,,,,
256,Hoshi no Koe,1689,433,34240,3087,339
257,Ikkitousen,174,4063,384,9936,2083
258,Hitsuji no Uta,3457,39710,,,
259,Happy?Lesson,,,,,
260,Happy?Lesson (TV),,,,,
261,Happy?Lesson: Advance,,,,,
262,Happy?Lesson: The Final,,,,,
263,Hajime no Ippo,1559,15,34636,2402,185
264,Hajime no Ippo: Champion Road,,,,,
265,Hajime no Ippo: Mashiba vs. Kimura,,,,,
266,Gunparade March: Arata Naru Kougunka,,,,,
267,Gungrave,5682,32998,2251,1292,323
268,Golden Boy,245,3889,37105,1470,32542
269,Bleach,392,1735,20,40748,1482
270,Hellsing,1726,27,4898,889,6
271,Gad Guard,1678,,,,
272,Noir,5682,252,2030,438,24439
273,Mahoutsukai ni Taisetsu na Koto,387,,,,
274,Kiddy Grade,71,,,,
275,Love?Love?,,,,,
276,Mahoromatic: Automatic Maiden,59,30,5042,,
277,Mahoromatic: Motto Utsukushii Mono,,,,,
278,Viewtiful Joe,9941,,,,
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,2246,326,586,19383,7724
280,Animal Yokochou,,,,,
281,Akane Maniax,,,,,
282,Angel Heart,483,4264,,,
283,Akage no Anne,2225,1663,,,
284,Area 88 (TV),1080,,,,
285,Argento Soma,1690,,,,
286,B'T X,,,,,
287,Grappler Baki (TV),263,2797,1559,174,392
288,Bakuten Shoot Beyblade,481,857,3972,392,
289,Comic Party,24031,,,,
290,Seikai no Monshou,207,,,,
291,D.C.S.S: Da Capo Second Season,,,,,
292,Dear Boys,11771,170,390,,
293,Di Gi Charat,6629,2457,1655,,
294,Divergence Eve,,,,,
295,Divergence Eve 2: Misaki Chronicles,,,,,
296,Dragon Drive,136,,,,
297,Grenadier: Hohoemi no Senshi,411,370,10465,,
298,.hack//Tasogare no Udewa Densetsu,,,,,
299,.hack//Liminality,,,,,
300,3x3 Eyes,392,249,6184,2354,1384
301,Cinderella Boy,,,,,
302,Mirai Shounen Conan,160,513,1251,80,40834
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,,,,,
304,Aa! Megami-sama! Movie,,,,,
305,Abashiri Ikka,18679,223,,,
306,Abenobashi Mahou?Shoutengai,,,,,
307,Kerokko Demetan,,,,,
308,Zettai Shounen,387,,,,
309,Akahori Gedou Hour Rabuge,,,,,
310,"Chiisana Obake: Acchi, Kocchi, Socchi",,,,,
311,Ace wo Nerae!,,,,,
312,Ace wo Nerae!: Final Stage,,,,,
313,Ace wo Nerae! (1979),506,,,,
314,Ace wo Nerae! 2,,,,,
315,Xiao Qian,199,1208,,,
316,Nageki no Kenkou Yuuryouji,,,,,
317,Final Fantasy VII: Advent Children,10702,1362,2969,548,36023
318,Hand Maid May,330,,,,
319,Happy World!,,,,,
320,A Kite,221,1350,7265,1353,
321,Najica Dengeki Sakusen,,,,,
322,Paradise Kiss,877,57,1592,16,12531
323,Mousou Dairinin,339,437,1943,6774,227
324,Kidou Keisatsu Patlabor: On Television,,,,,
325,Peach Girl,877,2034,3457,120,852
326,Petshop of Horrors,690,279,2204,620,1245
327,Puchi Pri*Yucie,350,721,,,
328,Piano (TV),5680,,,,
329,Planetes,1210,1,1034,3613,1942
330,Midori no Hibi,4224,776,24,318,
331,Mahoujin Guruguru,,,,,
332,Dokidoki?Densetsu: Mahoujin Guruguru,,,,,
333,Mama wa Shougaku 4 Nensei,,,,,
334,Marmalade Boy,106,1486,852,233,722
335,Matantei Loki Ragnarok,173,20507,,,
336,Ginyuu Mokushiroku Meine Liebe,4898,,,,
337,Psychic Academy,,,,,
338,Versailles no Bara,440,820,795,33337,1637
339,Serial Experiments Lain,30,369,790,437,323
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,45,2216,950,1559,606
341,Spiral: Suiri no Kizuna,,,,,
342,Starship Operators,329,,,,
343,Tsukuyomi: Moon Phase,3457,,,,
344,Futatsu no Spica,,,,,
345,Eikoku Koi Monogatari Emma,2966,16,,,
346,W: Wish,,,,,
347,Wild Arms: Twilight Venom,55,445,,,
348,Binzume Yousei,39071,,,,
349,Magical Canan,,,,,
350,Ojamajo Doremi,327,721,38578,33489,8206
