MAL_ID,Name,Anime-1,Anime-2,Anime-3,Anime-4,Anime-5
154,Shaman King,3588,479,392,356,269
155,X/1999,,,,,
156,X,132,,,,
157,Mahou Sensei Negima!,12293,1195,7088,3588,193
158,Maria-sama ga Miteru,855,795,1569,6203,863
159,Boukyaku no Senritsu,,,,,
160,"Ima, Soko ni Iru Boku",89,1450,992,3613,
161,Peace Maker Kurogane,45,419,,,
162,Pita Ten,1844,33731,,,
163,Power Stone,,,,,
164,Mononoke Hime,457,2594,,,
165,RahXephon,,,,,
166,Samurai 7,561,1292,,,
167,Scrapped Princess,20853,25013,1827,2030,4884
168,s.CRY.ed,3653,,,,
169,Shingetsutan Tsukihime,469,,,,
170,Slam Dunk,11771,20583,17,245,263
171,Strange Dawn,,,,,
173,Tactics,4081,4898,335,553,861
174,Tenjou Tenge,257,1559,857,4999,18679
175,Tokyo Underground,236,,,,
176,Triangle Heart: Sweet Songs Forever,,,,,
177,Tsubasa Chronicle,249,5678,721,61,25013
178,Ultra Maniac,232,1509,3641,840,2037
179,Ultra Maniac OVA,,,,,
180,Vandread,2001,113,2002,400,3653
181,Vandread: The Second Stage,,,,,
182,Tenkuu no Escaflowne,249,123,71,251,2259
183,Whistle!,,,,,
184,Xenosaga The Animation,,,,,
185,Initial D First Stage,263,857,135,,
186,Initial D Second Stage,,,,,
187,Initial D Third Stage,,,,,
188,Gosenzo San'e,,,,,
189,Love Hina,53,4999,2104,18897,241
190,Love Hina Again,157,2104,,,
191,Love Hina Christmas Special: Silent Eve,3455,,,,
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,,,,,
193,Maburaho,2993,576,18897,4214,9936
194,Macross Zero,,,,,
195,Onegai?Teacher,,,,,
196,Onegai?Twins,,,,,
197,Rizelmine,119,2104,59,1568,357
198,Speed Grapher,889,152,,,
199,Sen to Chihiro no Kamikakushi,28805,249,22147,16027,
200,Tenshi na Konamaiki,853,24,7054,245,242
201,Video Girl Ai,12783,49,40839,119,3026
202,Wolf's Rain,790,2025,7,6,10721
203,Words Worth,25345,2872,,,
204,Yumeria,5112,824,1006,6205,
205,Samurai Champloo,1,1292,2418,4087,6594
206,Lodoss-tou Senki: Eiyuu Kishi Den,1164,,,,
207,Lodoss-tou Senki,,,,,
208,R.O.D: Read or Die,128,,,,
209,R.O.D: The TV,2025,341,121,2564,
210,Ranma ½,249,120,1293,4999,1559
211,Pure Mail,,,,,
212,Project A-Ko,18679,30276,1347,2414,2724
213,Pia Carrot e Youkoso!!,,,,,
214,Pia Carrot e Youkoso!! 2,,,,,
215,Pia Carrot e Youkoso!! 2 DX,,,,,
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,,,,,
217,Shin Angel,,,,,
218,Kidou Senkan Nadesico,569,71,48644,22729,1088
219,Kidou Senkan Nadesico: The Prince of Darkness,,,,,
220,Kuro no Danshou,,,,,
221,Mezzo Forte,,,,,
222,Mezzo DSA,,,,,
223,Dragon Ball,21,11061,392,20,6702
225,Dragon Ball GT,6413,6702,347,,
226,Elfen Lied,934,10620,21431,1818,59
227,FLCL,974,18679,2001,30,379
228,Jigoku Shoujo,861,934,34550,20057,2105
229,Ninin ga Shinobuden,941,379,66,2457,11079
230,Air Master,1559,857,9513,1292,
231,Asagiri no Miko,2369,,,,
232,Cardcaptor Sakura,2923,76,5678,530,14829
233,Daa! Daa! Daa!,333,9513,74,2771,
234,Dan Doh!!,,,,,
235,Detective Conan,27947,1470,31478,820,
236,E's Otherwise,175,,,,
237,Koukyoushihen Eureka Seven,4177,2001,1575,16524,1250
238,Rekka no Honoo,20,136,1735,,
239,Gankutsuou,,,,,
240,Genshiken,1210,8769,16,8129,1887
241,Girls Bravo: First Season,3455,63,189,59,2494
242,Gokusen,245,24833,24089,851,1604
243,Gravitation,3092,21105,39533,2220,746
244,Agatha Christie no Meitantei Poirot to Marple,,,,,
245,Great Teacher Onizuka,268,24833,918,242,170
246,Groove Adventure Rave,6702,42192,136,479,1250
247,Harukanaru Toki no Naka de: Hachiyou Shou,123,,,,
248,Ichigo 100%,5150,1555,390,3467,471
249,InuYasha,14713,123,210,25013,38000
250,Konjiki no Gash Bell!!,9513,479,154,21,1568
251,Kyou kara Maou!,249,853,1195,3359,3092
252,Madlax,2030,,,,
253,Jungle wa Itsumo Hare nochi Guu,7647,10165,3464,2744,72
254,Jungle wa Itsumo Hare nochi Guu Deluxe,,,,,
255,Jungle wa Itsumo Hare nochi Guu Final,,,,,
256,Hoshi no Koe,,,,,
257,Ikkitousen,174,4063,8277,384,1559
258,Hitsuji no Uta,13659,,,,
259,Happy?Lesson,,,,,
260,Happy?Lesson (TV),,,,,
261,Happy?Lesson: Advance,,,,,
262,Happy?Lesson: The Final,,,,,
263,Hajime no Ippo,1559,15,34636,2402,18179
264,Hajime no Ippo: Champion Road,,,,,
265,Hajime no Ippo: Mashiba vs. Kimura,,,,,
266,Gunparade March: Arata Naru Kougunka,71,75,3572,,
267,Gungrave,5682,6,,,
268,Golden Boy,245,3889,30240,37105,841
269,Bleach,392,1735,20,1536,1482
270,Hellsing,27,4898,7,2404,
271,Gad Guard,52,13599,132,,
272,Noir,2030,889,,,
273,Mahoutsukai ni Taisetsu na Koto,2369,,,,
274,Kiddy Grade,1184,,,,
275,Love?Love?,,,,,
276,Mahoromatic: Automatic Maiden,33206,59,412,3085,146
277,Mahoromatic: Motto Utsukushii Mono,,,,,
278,Viewtiful Joe,21,9941,,,
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,19,,,,
280,Animal Yokochou,2950,2677,6116,229,
281,Akane Maniax,24,72,28,637,
282,Angel Heart,134,,,,
283,Akage no Anne,,,,,
284,Area 88 (TV),,,,,
285,Argento Soma,,,,,
286,B'T X,,,,,
287,Grappler Baki (TV),263,2797,,,
288,Bakuten Shoot Beyblade,857,,,,
289,Comic Party,2166,24031,1887,,
290,Seikai no Monshou,,,,,
291,D.C.S.S: Da Capo Second Season,4744,,,,
292,Dear Boys,11771,11697,,,
293,Di Gi Charat,2744,379,383,17497,14563
294,Divergence Eve,,,,,
295,Divergence Eve 2: Misaki Chronicles,,,,,
296,Dragon Drive,,,,,
297,Grenadier: Hohoemi no Senshi,6,370,10465,,
298,.hack//Tasogare no Udewa Densetsu,17265,19009,2049,,
299,.hack//Liminality,,,,,
300,3x3 Eyes,,,,,
301,Cinderella Boy,,,,,
302,Mirai Shounen Conan,2254,,,,
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,,,,,
304,Aa! Megami-sama! Movie,,,,,
305,Abashiri Ikka,2525,5025,666,,
306,Abenobashi Mahou?Shoutengai,,,,,
307,Kerokko Demetan,,,,,
308,Zettai Shounen,,,,,
309,Akahori Gedou Hour Rabuge,12679,,,,
310,"Chiisana Obake: Acchi, Kocchi, Socchi",,,,,
311,Ace wo Nerae!,,,,,
312,Ace wo Nerae!: Final Stage,,,,,
313,Ace wo Nerae! (1979),,,,,
314,Ace wo Nerae! 2,,,,,
315,Xiao Qian,,,,,
316,Nageki no Kenkou Yuuryouji,,,,,
317,Final Fantasy VII: Advent Children,,,,,
318,Hand Maid May,330,38226,229,4744,
319,Happy World!,50,5958,,,
320,A Kite,,,,,
321,Najica Dengeki Sakusen,788,,,,
322,Paradise Kiss,877,8129,852,4722,853
323,Mousou Dairinin,339,369,1210,227,934
324,Kidou Keisatsu Patlabor: On Television,1372,1152,1151,1412,
325,Peach Girl,1222,877,334,14289,853
326,Petshop of Horrors,41340,620,,,
327,Puchi Pri*Yucie,477,21273,122,22693,
328,Piano (TV),,,,,
329,Planetes,1210,12431,25835,113,237
330,Midori no Hibi,4224,245,28677,318,469
331,Mahoujin Guruguru,103,11061,15751,870,9834
332,Dokidoki?Densetsu: Mahoujin Guruguru,,,,,
333,Mama wa Shougaku 4 Nensei,233,1485,,,
334,Marmalade Boy,3731,325,852,210,
335,Matantei Loki Ragnarok,173,2985,12189,61,489
336,Ginyuu Mokushiroku Meine Liebe,1912,,,,
337,Psychic Academy,,,,,
338,Versailles no Bara,,,,,
339,Serial Experiments Lain,323,1210,849,579,
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,6594,205,,,
341,Spiral: Suiri no Kizuna,8425,407,9981,12189,209
342,Starship Operators,16668,329,,,
343,Tsukuyomi: Moon Phase,469,6747,1195,3457,8769
344,Futatsu no Spica,,,,,
345,Eikoku Koi Monogatari Emma,16,,,,
346,W: Wish,,,,,
347,Wild Arms: Twilight Venom,34176,225,,,
348,Binzume Yousei,831,1887,488,10165,965
349,Magical Canan,,,,,
350,Ojamajo Doremi,687,530,122,2036,39071
351,Ojamajo Doremi Sharp,,,,,
352,Motto! Ojamajo Doremi,,,,,
353,Ojamajo Doremi Dokkaan!,3297,,,,
354,UG?Ultimate Girls,,,,,
355,Shakugan no Shana,1195,4224,1691,4654,8630
356,Fate/stay night,4063,98,1536,64,154
357,Bokusatsu Tenshi Dokuro-chan,933,8841,379,564,5958
358,"Iriya no Sora, UFO no Natsu",587,3958,,,
359,I'll/CKBC,,,,,
360,Himiko-den,,,,,
361,Memories Off,,,,,
362,Memories Off 2nd,,,,,
363,Memories Off 3.5,,,,,
364,Gallery Fake,,,,,
365,Fake,553,1908,507,,
366,AIKa,9367,1082,,,
367,Akazukin Chacha OVA,,,,,
368,Bible Black,,,,,
369,Boogiepop wa Warawanai,323,10721,,,
370,Burn Up Excess,4200,297,379,,
371,Cardcaptor Sakura Movie 1,,,,,
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,,,,,
373,Bannou Bunka Neko-Musume,2474,212,,,
374,Bannou Bunka Neko-Musume DASH!,,,,,
375,Bannou Bunka Neko-Musume (1998),379,2222,2473,,
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",,,,,
377,eX-Driver,49519,,,,
378,eX-Driver the Movie,,,,,
379,Heppoko Jikken Animation Excel?Saga,,,,,
380,Fushigi Yuugi OVA,,,,,
381,Fushigi Yuugi: Dai Ni Bu,,,,,
382,Futari Ecchi,9624,24443,637,487,
383,Galaxy Angel,66,1683,1082,16910,293
384,Gantz,16498,2346,30276,257,
385,Gilgamesh,2025,,,,
386,H2,,,,,
387,Haibane Renmei,6547,28223,800,10357,6
388,Capeta,6055,,,,
389,Karas,1072,,,,
390,Suzuka,3731,17741,5941,2129,2112
391,Tales of Phantasia The Animation,,,,,
392,Yuu?Yuu?Hakusho,,,,,
393,Escaflowne,,,,,
394,Ai Yori Aoshi: Enishi,,,,,
395,Gantz 2nd Stage,,,,,
396,Seikai no Senki,,,,,
397,Seikai no Senki II,,,,,
398,Seikai no Senki III,,,,,
399,Seikai no Senki Special,,,,,
400,Seihou Bukyou Outlaw Star,1,2001,20057,6,569
401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,,,,,
402,Otogi Juushi Akazukin OVA,,,,,
403,Hanaukyou Maid-tai,412,241,,,
404,Bastard!!: Ankoku no Hakaishin,33,13161,434,3702,2409
405,Blood: The Last Vampire,,,,,
406,Buzzer Beater,170,,,,
407,Tantei Gakuen Q,1571,341,12189,7768,10568
408,Final Fantasy VII: Last Order,,,,,
411,Gun x Sword,6,1,205,8934,
412,Kore ga Watashi no Goshujinsama,2026,3229,853,403,3616
413,Hametsu no Mars,3287,19315,1657,16774,21881
415,Tonari no Yamada-kun,16664,10165,6116,66,5681
416,Kurenai no Buta,,,,,
417,Ragnarök The Animation,3230,17265,355,,
418,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,,,,,
419,Samurai Deeper Kyou,45,205,161,,
420,Spriggan,,,,,
421,Stratos 4,,,,,
422,Stratos 4 OVA,,,,,
423,Stratos 4 Advance,,,,,
424,Dirty Pair,8795,1577,2451,1151,534
425,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,,,,,
426,Final Fantasy,495,3837,,,
427,Kaleido Star,1974,122,4722,476,506
428,Kaleido Star: Aratanaru Tsubasa - Extra Stage,,,,,
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,,,,,
430,Fullmetal Alchemist: The Conqueror of Shamballa,,,,,
431,Howl no Ugoku Shiro,,,,,
432,Iria: Zeiram The Animation,1270,4200,,,
